Rank,City,Population,Land Mass
1,"New York City, NY",7891957,315.1
2,"Chicago, IL",3620962,207.5
3,"Philadelphia, PA",2071605,127.2
4,"Los Angeles, CA",1970358,450.9
5,"Detroit, MI",1849568,139.6
6,"Baltimore, MD",949708,78.7
7,"Cleveland, OH",914708,75
8,"St. Louis, MO",856796,61
9,"Washington, DC",802178,61.4
10,"Boston, MA",801444,47.8
11,"San Francisco, CA",775357,44.6
12,"Pittsburgh, PA",676357,54.2
13,"Milwaukee, WI",637392,50
14,"Houston, TX",596163,160
15,"Buffalo, NY",580132,39.4
16,"New Orleans, LA",570445,199.4
17,"Minneapolis, MN",521718,53.8
18,"Cincinnati, OH",503998,75.1
19,"Seattle, WA",467591,70.8
20,"Kansas City, MO",456622,80.6
21,"Newark, NJ",438776,23.6
22,"Dallas, TX",434462,112
23,"Indianapolis, IN",427173,55.2
24,"Denver, CO",415786,66.8
25,"San Antonio, TX",408442,69.5
