City,Latitude,Longitude
"Albany, NY",42.652579,-73.756232
"Alexandria, DC",38.804836,-77.046921
"Alexandria, VA",38.804836,-77.046921
"Allegheny, PA",40.445081,-80.008775
"Atlanta, GA",33.748995,-84.387982
"Austin, TX",30.267153,-97.743061
"Baltimore, MD",39.290385,-76.612189
"Boston, MA",42.360082,-71.05888
"Brooklyn, NY",40.678178,-73.944158
"Buffalo, NY",42.886447,-78.878369
"Charleston, SC",32.776475,-79.931051
"Charlotte, NC",35.227087,-80.843127
"Chicago, IL",41.878114,-87.629798
"Cincinnati, OH",39.103118,-84.51202
"Cleveland, OH",41.49932,-81.694361
"Columbus, OH",39.961176,-82.998794
"Dallas, TX",32.776664,-96.796988
"Denver, CO",39.739236,-104.990251
"Detroit, MI",42.331427,-83.045754
"El Paso, TX",31.761878,-106.485022
"Fort Worth, TX",32.755488,-97.330766
"Georgetown, DC",38.909706,-77.065357
"Gloucester, MA",42.615929,-70.661989
"Hartford, CT",41.765804,-72.673372
"Houston, TX",29.760427,-95.369803
"Hudson, NY",42.252865,-73.790959
"Indianapolis, IN",39.768403,-86.158068
"Jacksonville, FL",30.332184,-81.655651
"Jersey City, NJ",40.728157,-74.077642
"Kansas City, MO",39.099727,-94.578567
"Kensington, PA",39.981726,-75.12812
"Lancaster, PA",40.037875,-76.305514
"Los Angeles, CA",34.052234,-118.243685
"Louisville, KY",38.252665,-85.758456
"Lowell, MA",42.633425,-71.316172
"Marblehead, MA",42.499958,-70.857802
"Memphis, TN",35.149534,-90.04898
"Middleborough, MA",41.892994,-70.910771
"Milwaukee, WI",43.038902,-87.906474
"Minneapolis, MN",44.977753,-93.265011
"Nantucket, MA",41.28347,-70.099451
"Nashville, TN",36.162664,-86.781602
"New Bedford, MA",41.636215,-70.934205
"New Haven, CT",41.308274,-72.927884
"New London, CT",41.355654,-72.099521
"New Orleans, LA",29.951066,-90.071532
"New York City, NY",40.712775,-74.005973
"Newark, NJ",40.735657,-74.172367
"Newburyport, MA",42.812591,-70.877275
"Newport, RI",41.490102,-71.312829
"Norfolk, VA",36.850769,-76.285873
"Northern Liberties, PA",39.963692,-75.139944
"Omaha, NE",41.256537,-95.934503
"Petersburg, VA",37.227928,-77.401927
"Philadelphia, PA",39.952584,-75.165222
"Phoenix, AZ",33.448377,-112.074037
"Pittsburgh, PA",40.440625,-79.995886
"Portland, ME",43.659099,-70.256819
"Portland, OR",45.523062,-122.676482
"Portsmouth, NH",43.071755,-70.762553
"Providence, RI",41.823989,-71.412834
"Richmond, VA",37.540725,-77.436048
"Rochester, NY",43.156578,-77.608847
"Salem, MA",42.51954,-70.896716
"San Antonio, TX",29.424122,-98.493628
"San Diego, CA",32.715738,-117.161084
"San Francisco, CA",37.774929,-122.419416
"San Jose, CA",37.338208,-121.886329
"Savannah, GA",32.083541,-81.099834
"Schenectady, NY",42.814243,-73.939569
"Seattle, WA",47.606209,-122.332071
"Southwark, PA",39.938263,-75.147241
"Spring Garden, PA",39.935435,-76.72788
"St. Louis, MO",38.627003,-90.199404
"St. Paul, MN",44.953703,-93.089958
"Troy, NY",42.728412,-73.691785
"Washington, DC",38.907192,-77.036871
"Williamsburgh, NY",40.708116,-73.95707
